Week,Topic,Reading,Additional Material
1,1. Course Introduction,"1. Ruppert, chapter 2 (Returns).",1. finance.yahoo.com Check out finance/quote section
,2. Computing Asset Returns,"2. EZ, chapter 1 (return calculations).",2. returnCalculations.xls
,3. Getting financial data from Yahoo!,"3. EZ, chapter 2 (Review of Random Variables).",3. returnCalculations.r (R code for book chapter examples)
,4. Excel calculations,"4. EZ, class slides on course introduction.",4. returnCalculations.Rmd (R markdown file for web-page examples)
,5. Introduction to R,"5. EZ, class slides on return calculations.",5. returnCalculations.html (R examples in web page using R markdown - best viewed in Chrome)
,6. Univariate random variables and distributions,"6. EZ, class slides on probability review: Part I.",6. Rintro.pdf (introduction to R covered) 
,,"7. ZLM, chapters 1-3, 5.",7. probReview.xls
,,"8. R Cookbook, chapters 1 - 5, 10 (sections 1 - 15)",8. probReview.r (R code for book chapter examples)
,,"9. An Introduction to R, sections 1-3, 6 and 7.",
,,"10. R for Beginners, sections 1-3.",
,,"11. *EG, chapters 1-3",
2 & 3,1. Characteristics of distributions,"1. Ruppert, chapter 5 (Modeling Univariate Distributions),
 chapter 7(Multivariate Statistical Models),
chapter 9 (Time Series Models: Basics), 
Appendix (sections 1-10, 12-15, 20)",1. probReview.xls
,2. The normal distribution,"2. EZ, chapter 2 (Review of random variables), 
chapter 3 (matrix algebra review) and chapter 4 (time series concepts)",2. probReview.r (R code for book chapter examples)
,3. Linear function of random variables,"3. EZ, class slides on probability review: Part I.",3. probabilityReview.Rmd (R markdown file used to create webpage examples)
,"4. Quantiles of a distribution, Value-at-Risk","4. EZ, class slides on probability review: Part II.",4. probabilityReview.html (R examples in webpage created with R markdown)
,5. Bivariate distributions,"5. EZ, class slides on time series concepts.",5. timeSeriesConcepts.r (R code for book chapter examples)
,"6. Covariance, correlation, autocorrelation","6. EZ, class slides on matrix algebra.",6. timeSeriesConcepts.Rmd (R markdown file used to create webpage examples)
,7. Linear combinations of random variables,"7. ZLM, chapters 3-7.",7. timeSeriesConcepts.html (R examples in webpage created with R markdown - best viewed in Chrome)
,8. Time Series concepts,"8. R Cookbook, chapter 8 and chapter 14 (sections 1 - 16).",8. matrixReview.r (R code for book chapter examples)
