time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-05T12:49:16.410Z,0.5373,126.2706,53.43,4.5,mb,,45,1.12,0.87,us,us100096xp,2017-07-05T13:05:01.040Z,"125km WSW of Kota Ternate, Indonesia",earthquake,7.2,6.8,0.104,28,reviewed,us,us
2017-07-05T04:45:34.720Z,-30.2242,-177.7286,10,4.9,mb,,75,0.991,0.62,us,us100096u0,2017-07-05T05:10:11.040Z,"107km S of Raoul Island, New Zealand",earthquake,4.4,1.9,0.076,54,reviewed,us,us
2017-07-04T22:42:11.650Z,-3.8563,129.9707,21.19,5.1,mb,,41,2.457,0.98,us,us100096s9,2017-07-04T22:58:45.040Z,"130km ESE of Amahai, Indonesia",earthquake,3.8,5.2,0.066,74,reviewed,us,us
2017-07-04T19:28:19.780Z,-3.9385,130.1269,57.79,5,mb,,64,2.347,1.44,us,us100096rh,2017-07-04T19:47:28.040Z,"150km ESE of Amahai, Indonesia",earthquake,6.9,5.1,0.105,29,reviewed,us,us
2017-07-04T16:05:58.280Z,-35.5361,-73.3741,10,5.9,mww,,99,1.218,1.11,us,us100096p0,2017-07-05T16:05:45.040Z,"89km WSW of Constitucion, Chile",earthquake,4.3,1.8,,,reviewed,us,us
2017-07-04T11:37:05.410Z,-22.5695,25.0865,10,4.9,mb,,61,2.478,0.51,us,us100096mw,2017-07-04T16:47:50.534Z,"137km SSW of Letlhakane, Botswana",earthquake,8.2,1.8,0.07,65,reviewed,us,us
2017-07-04T09:25:11.750Z,-8.4477,122.4998,199.55,4.7,mb,,34,0.319,0.96,us,us100096mg,2017-07-04T09:51:52.040Z,"7km WNW of Nebe, Indonesia",earthquake,7.8,5.2,0.067,68,reviewed,us,us
2017-07-04T08:12:02.470Z,-6.0625,101.9067,10,4.7,mb,,96,1.987,0.7,us,us100096lz,2017-07-04T23:02:05.925Z,"235km WSW of Kuripan, Indonesia",earthquake,7.6,1.9,0.1,30,reviewed,us,us
2017-07-04T06:24:30.790Z,-14.7575,167.4307,133.56,4.7,mb,,82,6.494,0.66,us,us100096l5,2017-07-04T06:47:24.040Z,"52km NE of Port-Olry, Vanuatu",earthquake,11.6,7.4,0.043,160,reviewed,us,us
2017-07-04T05:11:22.460Z,-49.6926,117.6677,10,4.7,mb,,125,16.754,0.87,us,us100096kc,2017-07-04T05:36:38.040Z,"Western Indian-Antarctic Ridge",earthquake,15.1,1.9,0.12,21,reviewed,us,us
2017-07-04T03:34:37.880Z,44.4344,101.4714,14.81,4.5,mb,,59,4.824,0.52,us,us100096js,2017-07-04T04:00:57.040Z,"52km ESE of Hatansuudal, Mongolia",earthquake,10.5,4.8,0.077,50,reviewed,us,us
2017-07-04T02:25:26.590Z,-19.4358,-69.6514,91.55,4.9,mwr,,107,0.489,0.83,us,us100096jd,2017-07-04T04:41:51.724Z,"101km NNE of Iquique, Chile",earthquake,2.7,5,0.053,34,reviewed,us,us
2017-07-04T02:06:32.730Z,-34.8648,-108.554,10,4.8,mb,,54,28.142,0.83,us,us100096j7,2017-07-04T02:36:14.040Z,"Southern East Pacific Rise",earthquake,11.3,1.9,0.047,140,reviewed,us,us
