occupationLabel,person
politician,http://www.wikidata.org/entity/Q192
lawyer,http://www.wikidata.org/entity/Q329
politician,http://www.wikidata.org/entity/Q329
economist,http://www.wikidata.org/entity/Q329
association football player,http://www.wikidata.org/entity/Q615
politician,http://www.wikidata.org/entity/Q1254
economist,http://www.wikidata.org/entity/Q1254
diplomat,http://www.wikidata.org/entity/Q1254
screenwriter,http://www.wikidata.org/entity/Q2001
photographer,http://www.wikidata.org/entity/Q2001
cinematographer,http://www.wikidata.org/entity/Q2001
film director,http://www.wikidata.org/entity/Q2001
film producer,http://www.wikidata.org/entity/Q2001
film editor,http://www.wikidata.org/entity/Q2001
association football player,http://www.wikidata.org/entity/Q4261
sports official,http://www.wikidata.org/entity/Q4261
politician,http://www.wikidata.org/entity/Q7177
lawyer,http://www.wikidata.org/entity/Q7416
politician,http://www.wikidata.org/entity/Q7416
chemist,http://www.wikidata.org/entity/Q7416
barrister,http://www.wikidata.org/entity/Q7416
autobiographer,http://www.wikidata.org/entity/Q7416
politician,http://www.wikidata.org/entity/Q7747
jurist,http://www.wikidata.org/entity/Q7747
judoka,http://www.wikidata.org/entity/Q7747
autobiographer,http://www.wikidata.org/entity/Q7747
actor,http://www.wikidata.org/entity/Q9570
politician,http://www.wikidata.org/entity/Q9570
singer,http://www.wikidata.org/entity/Q9570
film producer,http://www.wikidata.org/entity/Q9570
engineer,http://www.wikidata.org/entity/Q15031
politician,http://www.wikidata.org/entity/Q15031
politician,http://www.wikidata.org/entity/Q15056
politician,http://www.wikidata.org/entity/Q18301
sovereign,http://www.wikidata.org/entity/Q19943
politician,http://www.wikidata.org/entity/Q21822
military personnel,http://www.wikidata.org/entity/Q34105
politician,http://www.wikidata.org/entity/Q34105
aviator,http://www.wikidata.org/entity/Q34105
screenwriter,http://www.wikidata.org/entity/Q36970
actor,http://www.wikidata.org/entity/Q36970
singer,http://www.wikidata.org/entity/Q36970
stunt performer,http://www.wikidata.org/entity/Q36970
film director,http://www.wikidata.org/entity/Q36970
film producer,http://www.wikidata.org/entity/Q36970
film actor,http://www.wikidata.org/entity/Q36970
screenwriter,http://www.wikidata.org/entity/Q39803
writer,http://www.wikidata.org/entity/Q39803
politician,http://www.wikidata.org/entity/Q39803
dramaturge,http://www.wikidata.org/entity/Q39803
columnist,http://www.wikidata.org/entity/Q39803
journalist,http://www.wikidata.org/entity/Q39803
literary critic,http://www.wikidata.org/entity/Q39803
novelist,http://www.wikidata.org/entity/Q39803
essayist,http://www.wikidata.org/entity/Q39803
lawyer,http://www.wikidata.org/entity/Q40649
politician,http://www.wikidata.org/entity/Q40649
physician,http://www.wikidata.org/entity/Q44329
politician,http://www.wikidata.org/entity/Q44329
ophthalmologist,http://www.wikidata.org/entity/Q44329
actor,http://www.wikidata.org/entity/Q47059
model,http://www.wikidata.org/entity/Q47059
film actor,http://www.wikidata.org/entity/Q47059
lawyer,http://www.wikidata.org/entity/Q51005
politician,http://www.wikidata.org/entity/Q51005
screenwriter,http://www.wikidata.org/entity/Q55171
actor,http://www.wikidata.org/entity/Q55171
singer,http://www.wikidata.org/entity/Q55171
film director,http://www.wikidata.org/entity/Q55171
film producer,http://www.wikidata.org/entity/Q55171
writer,http://www.wikidata.org/entity/Q55720
film producer,http://www.wikidata.org/entity/Q55720
patron of the arts,http://www.wikidata.org/entity/Q55720
politician,http://www.wikidata.org/entity/Q57282
politician,http://www.wikidata.org/entity/Q57360
politician,http://www.wikidata.org/entity/Q57371
politician,http://www.wikidata.org/entity/Q57394
entrepreneur,http://www.wikidata.org/entity/Q57553
banker,http://www.wikidata.org/entity/Q57553
politician,http://www.wikidata.org/entity/Q57675
politician,http://www.wikidata.org/entity/Q57734
diplomat,http://www.wikidata.org/entity/Q57734
politician,http://www.wikidata.org/entity/Q57751
surgeon,http://www.wikidata.org/entity/Q57751
businessperson,http://www.wikidata.org/entity/Q57794
politician,http://www.wikidata.org/entity/Q57794
entrepreneur,http://www.wikidata.org/entity/Q57794
politician,http://www.wikidata.org/entity/Q57806
economist,http://www.wikidata.org/entity/Q57806
diplomat,http://www.wikidata.org/entity/Q57806
businessperson,http://www.wikidata.org/entity/Q58077
politician,http://www.wikidata.org/entity/Q58077
entrepreneur,http://www.wikidata.org/entity/Q58077
economist,http://www.wikidata.org/entity/Q58077
diplomat,http://www.wikidata.org/entity/Q58077
politician,http://www.wikidata.org/entity/Q60206
officer,http://www.wikidata.org/entity/Q60206
association football player,http://www.wikidata.org/entity/Q63659
association football player,http://www.wikidata.org/entity/Q73480
Formula One driver,http://www.wikidata.org/entity/Q75820
lawyer,http://www.wikidata.org/entity/Q879376
politician,http://www.wikidata.org/entity/Q879376
entrepreneur,http://www.wikidata.org/entity/Q913659
association football player,http://www.wikidata.org/entity/Q923361
tennis player,http://www.wikidata.org/entity/Q924245
ice hockey player,http://www.wikidata.org/entity/Q924245
tennis coach,http://www.wikidata.org/entity/Q924245
politician,http://www.wikidata.org/entity/Q945181
politician,http://www.wikidata.org/entity/Q953006
entrepreneur,http://www.wikidata.org/entity/Q953006
association football player,http://www.wikidata.org/entity/Q973035
politician,http://www.wikidata.org/entity/Q1059948
art dealer,http://www.wikidata.org/entity/Q1175852
art collector,http://www.wikidata.org/entity/Q1175852
entrepreneur,http://www.wikidata.org/entity/Q1279226
politician,http://www.wikidata.org/entity/Q1317281
jurist,http://www.wikidata.org/entity/Q1317281
entrepreneur,http://www.wikidata.org/entity/Q1355980
businessperson,http://www.wikidata.org/entity/Q1391564
entrepreneur,http://www.wikidata.org/entity/Q1391564
diamond cutter,http://www.wikidata.org/entity/Q1391564
drug lord,http://www.wikidata.org/entity/Q1442404
politician,http://www.wikidata.org/entity/Q1527454
politician,http://www.wikidata.org/entity/Q1672026
entrepreneur,http://www.wikidata.org/entity/Q1672026
economist,http://www.wikidata.org/entity/Q1672026
politician,http://www.wikidata.org/entity/Q1799092
association football player,http://www.wikidata.org/entity/Q2076659
banker,http://www.wikidata.org/entity/Q2222937
actor,http://www.wikidata.org/entity/Q2485621
television presenter,http://www.wikidata.org/entity/Q2485621
film director,http://www.wikidata.org/entity/Q2485621
lawyer,http://www.wikidata.org/entity/Q2499132
businessperson,http://www.wikidata.org/entity/Q2499132
jurist,http://www.wikidata.org/entity/Q2499132
politician,http://www.wikidata.org/entity/Q2509606
businessperson,http://www.wikidata.org/entity/Q2523237
association football player,http://www.wikidata.org/entity/Q2535937
entrepreneur,http://www.wikidata.org/entity/Q2707860
entrepreneur,http://www.wikidata.org/entity/Q2741723
writer,http://www.wikidata.org/entity/Q2897173
journalist,http://www.wikidata.org/entity/Q2897173
lawyer,http://www.wikidata.org/entity/Q2908599
advocate,http://www.wikidata.org/entity/Q2908599
military personnel,http://www.wikidata.org/entity/Q2915170
politician,http://www.wikidata.org/entity/Q2915170
art director,http://www.wikidata.org/entity/Q3082370
film director,http://www.wikidata.org/entity/Q3082370
banker,http://www.wikidata.org/entity/Q3085452
university professor,http://www.wikidata.org/entity/Q3085452
politician,http://www.wikidata.org/entity/Q3163304
politician,http://www.wikidata.org/entity/Q3183740
association football player,http://www.wikidata.org/entity/Q3323651
entrepreneur,http://www.wikidata.org/entity/Q3411790
conductor,http://www.wikidata.org/entity/Q4396930
cellist,http://www.wikidata.org/entity/Q4396930
entrepreneur,http://www.wikidata.org/entity/Q4398632
businessperson,http://www.wikidata.org/entity/Q4398633
businessperson,http://www.wikidata.org/entity/Q4663533
business magnate,http://www.wikidata.org/entity/Q4663533
politician,http://www.wikidata.org/entity/Q4773084
politician,http://www.wikidata.org/entity/Q4979263
businessperson,http://www.wikidata.org/entity/Q5201141
businessperson,http://www.wikidata.org/entity/Q5213558
lawyer,http://www.wikidata.org/entity/Q5302374
businessperson,http://www.wikidata.org/entity/Q5489972
lawyer,http://www.wikidata.org/entity/Q5519269
politician,http://www.wikidata.org/entity/Q5519269
businessperson,http://www.wikidata.org/entity/Q5527865
politician,http://www.wikidata.org/entity/Q5569188
diplomat,http://www.wikidata.org/entity/Q5569188
lawyer,http://www.wikidata.org/entity/Q5657910
politician,http://www.wikidata.org/entity/Q6271017
businessperson,http://www.wikidata.org/entity/Q6300102
politician,http://www.wikidata.org/entity/Q6300102
