image,artikel,name,date.of.death,country.of.citizenship,occupation,award.received,member.of,significant.event,
1,NA,Abasaheb Garware,12/21/1903,,India,"business magnate
businessperson",Padma Bhushan,,Panama Papers
2,NA,Abdeslam Bouchouareb,6/3/1952,,France,politician,,,Panama Papers
3,NA,Abdoulaye Wade,5/29/1926,,Senegal,politician,"Grand Officer of the Legion of Honour
Félix Houphouët-Boigny Peace Prize",,Panama Papers
4,NA,Agustín Almodóvar,1955,,Spain,"actor
film producer
screenwriter",,,Panama Papers
5,NA,Ahmed al-Mirghani,8/16/1941,11/2/2008,Sudan,"politician
president",,,Panama Papers
6,NA,Aishwarya Rai,11/1/1973,,India,"actor
model
film actor","Padma Shri
Filmfare Awards
Officier des Arts et des Lettres‎",,Panama Papers
7,NA,Alaa Mubarak,11/26/1960,,Egypt,entrepreneur,,,Panama Papers
8,NA,Ali Abu al-Ragheb,1946,,Jordan,politician,,,Panama Papers
9,NA,Amitabh Bachan,10/11/1942,,India,"actor
politician
film producer
singer","Padma Shri
Padma Bhushan
Filmfare Awards
National Film Award for Best Actor
CNN-IBN Indian of the Year",,Panama Papers
10,NA,Andrew Cole,10/15/1971,,United Kingdom,association football player,,,Panama Papers
11,NA,Ang Vong Vathana,,,Cambodia,politician,,,Panama Papers
12,NA,Anthony Merchant,1944,,Canada,politician,,,Panama Papers
13,NA,Antonis Samaras,5/23/1951,,Greece,"politician
economist
diplomat",,,Panama Papers
14,NA,Ariel Sharon,2/26/1928,1/11/2014,Israel,"politician
officer",,,Panama Papers
15,NA,Arkady Rotenberg,12/15/1951,,Russia,businessperson,Order of Friendship,,Panama Papers
16,NA,Ayad Allawi,1945,,Iraq,"politician
psychiatrist",,,Panama Papers
17,NA,Bashar al-Assad,9/11/1965,,Syria,"politician
ophthalmologist
physician",Knight Grand Cross with Collar of the Order of Merit of the Italian Republic,,Panama Papers
18,NA,Benjamin Wey,,,United States of America,businessperson,,,Panama Papers
19,NA,Beny Steinmetz,4/2/1956,,France,entrepreneur,,,Panama Papers
20,NA,Berta Moltke,2/12/1938,,Denmark,painter,,,Panama Papers
21,NA,Bidzina Ivanishvili,2/18/1956,,"Georgia
France","politician
businessperson
entrepreneur",,,Panama Papers
22,NA,"Bjarni Benediktsson, Jr.",1/26/1970,,Iceland,"politician
lawyer",,,Panama Papers
23,NA,Bo Xilai,7/3/1949,,People's Republic of China,politician,,,Panama Papers
24,NA,Boris Rotenberg Sr.,1/3/1957,,"Soviet Union
Finland",entrepreneur,,,Panama Papers
25,NA,Brian Steen Nielsen,12/28/1968,,Denmark,association football player,,,Panama Papers
26,NA,Bruno Itoua,10/6/1956,,Republic of the Congo,politician,,,Panama Papers
27,NA,Clarence Seedorf,4/1/1976,,Netherlands,"association football player
association football manager",Honorary Order of the Yellow Star,,Panama Papers
28,NA,Cristina Fernández de Kirchner,2/19/1953,,Argentina,"politician
lawyer",Order of Isabella the Catholic‎,,"marriage
childbirth
medical error
surgery
Argentine legislative election, 2005
Argentine general election, 2007
Presidency of Cristina Fernández de Kirchner
Panama Papers"
29,NA,Cyrus S. Poonawalla,,,India,businessperson,Padma Shri,,Panama Papers
30,NA,Dan Gertler,1973-12,,,businessperson,,,Panama Papers
31,NA,Darko Kovačević,11/18/1973,,Serbia,association football player,,,Panama Papers
32,NA,David Cameron,10/9/1966,,United Kingdom,politician,,"Parliament of the United Kingdom
53rd United Kingdom Parliament
54th United Kingdom Parliament
55th United Kingdom Parliament
56th United Kingdom Parliament",Panama Papers
33,NA,David Geffen,2/21/1943,,United States of America,"film producer
talent agent
businessperson
record producer
television producer
theatrical producer
music executive","Tony Award for Best Musical
Tony Award for Best Play
Daytime Emmy Award for Outstanding Children's Animated Program",,Panama Papers
34,NA,David Nahmad,1947,,Lebanon,"art dealer
art collector",,,Panama Papers
35,NA,Dawood Ibrahim,12/26/1955,,India,criminal,,D-Company,Panama Papers
36,NA,Deng Jiagui,1951,,,businessperson,,,Panama Papers
37,NA,Dov Weissglass,1946,,,lawyer,,,Panama Papers
38,NA,Edison Lobão,12/5/1936,,Brazil,politician,,,Panama Papers
39,NA,Eduardo Cunha,9/20/1958,,Brazil,"economist
politician",,,Panama Papers
40,NA,Enrique Peña Nieto,7/20/1966,,Mexico,"politician
lawyer",collar of the Order of Isabella the Catholic‎,,Panama Papers
41,NA,Eugenio Figueredo,3/10/1932,,Uruguay,association football player,,,Panama Papers
42,NA,Franco Dragone,1952,,Italy,"film director
art director",Knight of the National Order of Quebec,,Panama Papers
43,NA,Frank Belfrage,3/13/1942,,Sweden,"politician
diplomat",,,Panama Papers
44,NA,Frank Flannery,,,,politician,,,Panama Papers
45,NA,Frank Timiş,1/28/1963,,"Romania
Australia",businessperson,,,Panama Papers
46,NA,Gabriel Heinze,4/19/1978,,Argentina,association football player,,,Panama Papers
47,NA,Gabriel Schürrer,8/16/1971,,Argentina,association football player,,,Panama Papers
48,NA,Galo Chiriboga,,,Ecuador,"politician
lawyer",,,Panama Papers
