Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
1-Apr-14,Tuesday,Earned Leave,--,--,--,0,8:48,NA
2-Apr-14,Wednesday,Earned Leave,--,--,--,0,8:48,NA
3-Apr-14,Thursday,Earned Leave,--,--,--,0,8:48,NA
4-Apr-14,Friday,Earned Leave,--,--,--,0,8:48,NA
5-Apr-14,Saturday,Weekly Off,--,--,--,0,NA,NA
6-Apr-14,Sunday,Weekly Off,--,--,--,0,NA,NA
7-Apr-14,Monday,Earned Leave,--,--,--,0,8:48,NA
8-Apr-14,Tuesday,Present,12:36,19:48,7.2,7.2,NA,No leave debit
9-Apr-14,Wednesday,Present,9:10,19:58,10.8,10.8,NA,No leave debit
10-Apr-14,Thursday,Present,8:32,19:50,11.3,11.3,NA,No leave debit
11-Apr-14,Friday,Present,10:18,18:18,8,8,NA,No leave debit
12-Apr-14,Saturday,Weekly Off,9:44,10:47,1.05,1.05,NA,NA
13-Apr-14,Sunday,Weekly Off,--,--,--,0,NA,NA
14-Apr-14,Monday,Present,8:24,19:57,11.55,11.55,NA,No leave debit
15-Apr-14,Tuesday,Present,9:20,19:27,10.12,10.12,NA,No leave debit
16-Apr-14,Wednesday,Present,9:07,19:55,10.8,10.8,NA,No leave debit
17-Apr-14,Thursday,Present,9:08,18:20,9.2,9.2,NA,No leave debit
18-Apr-14,Friday,Present,8:51,20:54,12.05,12.05,NA,No leave debit
19-Apr-14,Saturday,Weekly Off,--,--,--,0,NA,NA
20-Apr-14,Sunday,Weekly Off,--,--,--,0,NA,NA
21-Apr-14,Monday,Present,9:09,20:55,11.77,11.77,NA,No leave debit
22-Apr-14,Tuesday,Present,10:01,19:54,9.88,9.88,NA,No leave debit
23-Apr-14,Wednesday,Present,10:00,19:53,9.88,9.88,NA,No leave debit
24-Apr-14,Thursday,Present,8:56,20:40,11.73,11.73,NA,No leave debit
25-Apr-14,Friday,Present,9:27,20:51,11.4,11.4,NA,No leave debit
26-Apr-14,Saturday,Weekly Off,9:19,19:59,10.67,10.67,NA,NA
27-Apr-14,Sunday,Weekly Off,--,--,--,0,NA,NA
28-Apr-14,Monday,Present,8:55,18:42,9.78,9.78,NA,No leave debit
29-Apr-14,Tuesday,Present,9:05,19:58,10.88,10.88,NA,No leave debit
30-Apr-14,Wednesday,Holiday,--,--,--,0,8:48,NA
1-May-14,Thursday,Holiday,--,--,--,0,8:48,NA
2-May-14,Friday,Present,9:24,19:59,10.58,10.58,NA,No leave debit
3-May-14,Saturday,Weekly Off,--,--,--,0,NA,NA
4-May-14,Sunday,Weekly Off,--,--,--,0,NA,NA
5-May-14,Monday,Present,9:31,19:58,10.45,10.45,NA,No leave debit
6-May-14,Tuesday,Present,9:28,21:11,11.72,11.72,NA,No leave debit
7-May-14,Wednesday,Present,9:50,20:00,10.17,10.17,NA,No leave debit
8-May-14,Thursday,Present,9:14,19:31,10.28,10.28,NA,No leave debit
9-May-14,Friday,Present,10:06,19:41,9.58,9.58,NA,No leave debit
10-May-14,Saturday,Weekly Off,--,--,--,0,NA,NA
11-May-14,Sunday,Weekly Off,--,--,--,0,NA,NA
12-May-14,Monday,Present,9:08,19:35,10.45,10.45,NA,No leave debit
13-May-14,Tuesday,Present,9:32,20:44,11.2,11.2,NA,No leave debit
