"","date","views"
"1",2015-07-01,6918
"2",2015-07-02,7529
"3",2015-07-03,10020
"4",2015-07-04,10209
"5",2015-07-05,9652
"6",2015-07-06,7969
"7",2015-07-07,6975
"8",2015-07-08,6985
"9",2015-07-09,6724
"10",2015-07-10,6823
"11",2015-07-11,7632
"12",2015-07-12,11671
"13",2015-07-13,9976
"14",2015-07-14,14157
"15",2015-07-15,6956
"16",2015-07-16,7180
"17",2015-07-17,6797
"18",2015-07-18,7345
"19",2015-07-19,9497
"20",2015-07-20,8813
"21",2015-07-21,7333
"22",2015-07-22,6911
"23",2015-07-23,6382
"24",2015-07-24,7142
"25",2015-07-25,7276
"26",2015-07-26,9600
"27",2015-07-27,12160
"28",2015-07-28,10777
"29",2015-07-29,7448
"30",2015-07-30,8337
"31",2015-07-31,8374
"32",2015-08-01,9535
"33",2015-08-02,9401
"34",2015-08-03,10332
"35",2015-08-04,12265
"36",2015-08-05,7869
"37",2015-08-06,6763
"38",2015-08-07,7108
"39",2015-08-08,11066
"40",2015-08-09,11508
"41",2015-08-10,8123
"42",2015-08-11,7970
"43",2015-08-12,8433
"44",2015-08-13,9287
"45",2015-08-14,7209
"46",2015-08-15,9494
"47",2015-08-16,9735
"48",2015-08-17,7664
"49",2015-08-18,7566
"50",2015-08-19,6837
"51",2015-08-20,8236
"52",2015-08-21,7516
"53",2015-08-22,8960
"54",2015-08-23,8766
"55",2015-08-24,7322
"56",2015-08-25,7292
"57",2015-08-26,8349
"58",2015-08-27,6609
"59",2015-08-28,8903
"60",2015-08-29,8787
"61",2015-08-30,9099
"62",2015-08-31,7544
"63",2015-09-01,7282
"64",2015-09-02,6745
"65",2015-09-03,8461
"66",2015-09-04,10641
"67",2015-09-05,8095
"68",2015-09-06,8332
"69",2015-09-07,8017
"70",2015-09-08,6734
"71",2015-09-09,5943
"72",2015-09-10,7900
"73",2015-09-11,7521
"74",2015-09-12,11683
"75",2015-09-13,9326
"76",2015-09-14,7030
"77",2015-09-15,6364
"78",2015-09-16,6787
"79",2015-09-17,6135
"80",2015-09-18,6672
"81",2015-09-19,7148
"82",2015-09-20,8302
"83",2015-09-21,7962
"84",2015-09-22,7069
"85",2015-09-23,6453
"86",2015-09-24,6008
"87",2015-09-25,6681
"88",2015-09-26,6846
"89",2015-09-27,9446
"90",2015-09-28,6838
"91",2015-09-29,5805
"92",2015-09-30,5623
"93",2015-10-01,5946
"94",2015-10-02,8327
"95",2015-10-03,8474
"96",2015-10-04,8263
"97",2015-10-05,7854
"98",2015-10-06,7292
"99",2015-10-07,8389
"100",2015-10-08,9205
"101",2015-10-09,7084
"102",2015-10-10,9150
"103",2015-10-11,7730
"104",2015-10-12,8821
"105",2015-10-13,7686
"106",2015-10-14,8135
"107",2015-10-15,6579
"108",2015-10-16,6738
"109",2015-10-17,7265
"110",2015-10-18,7465
"111",2015-10-19,6270
"112",2015-10-20,5786
"113",2015-10-21,5589
"114",2015-10-22,5680
"115",2015-10-23,6463
"116",2015-10-24,12293
"117",2015-10-25,8317
"118",2015-10-26,6669
"119",2015-10-27,6162
"120",2015-10-28,5822
"121",2015-10-29,5977
"122",2015-10-30,8280
"123",2015-10-31,7499
"124",2015-11-01,8200
"125",2015-11-02,6778
"126",2015-11-03,6566
"127",2015-11-04,6351
"128",2015-11-05,6676
"129",2015-11-06,7570
"130",2015-11-07,8215
"131",2015-11-08,8995
"132",2015-11-09,9531
"133",2015-11-10,7731
"134",2015-11-11,7018
"135",2015-11-12,6870
"136",2015-11-13,7488
"137",2015-11-14,7964
"138",2015-11-15,8076
"139",2015-11-16,7833
"140",2015-11-17,6849
"141",2015-11-18,6058
"142",2015-11-19,6771
"143",2015-11-20,6517
"144",2015-11-21,7757
"145",2015-11-22,7740
"146",2015-11-23,6837
"147",2015-11-24,6462
"148",2015-11-25,6327
"149",2015-11-26,10559
"150",2015-11-27,14057
"151",2015-11-28,9435
"152",2015-11-29,9599
"153",2015-11-30,8428
"154",2015-12-01,6719
"155",2015-12-02,6612
"156",2015-12-03,6565
"157",2015-12-04,6937
"158",2015-12-05,9370
"159",2015-12-06,8879
"160",2015-12-07,8079
"161",2015-12-08,7057
"162",2015-12-09,6574
"163",2015-12-10,6908
"164",2015-12-11,7537
"165",2015-12-12,7895
"166",2015-12-13,8987
"167",2015-12-14,7650
"168",2015-12-15,7220
"169",2015-12-16,7138
"170",2015-12-17,6983
"171",2015-12-18,7084
"172",2015-12-19,7417
"173",2015-12-20,8600
"174",2015-12-21,8507
"175",2015-12-22,7278
"176",2015-12-23,7207
"177",2015-12-24,8251
"178",2015-12-25,9291
"179",2015-12-26,10201
"180",2015-12-27,10950
"181",2015-12-28,9776
"182",2015-12-29,9232
"183",2015-12-30,8908
"184",2015-12-31,8134
"185",2016-01-01,10325
"186",2016-01-02,11672
"187",2016-01-03,11051
"188",2016-01-04,9359
"189",2016-01-05,8555
"190",2016-01-06,8684
"191",2016-01-07,7931
"192",2016-01-08,8481
"193",2016-01-09,9872
"194",2016-01-10,12791
"195",2016-01-11,11410
"196",2016-01-12,8823
"197",2016-01-13,7682
"198",2016-01-14,8291
"199",2016-01-15,7996
"200",2016-01-16,8950
"201",2016-01-17,10172
"202",2016-01-18,17230
"203",2016-01-19,8731
"204",2016-01-20,8545
"205",2016-01-21,8039
"206",2016-01-22,8543
"207",2016-01-23,12637
"208",2016-01-24,14902
"209",2016-01-25,9225
"210",2016-01-26,9153
"211",2016-01-27,10352
"212",2016-01-28,8052
"213",2016-01-29,7909
"214",2016-01-30,11530
"215",2016-01-31,10555
"216",2016-02-01,8739
"217",2016-02-02,7335
"218",2016-02-03,7225
"219",2016-02-04,10552
"220",2016-02-05,8766
"221",2016-02-06,11261
"222",2016-02-07,9998
"223",2016-02-08,7744
"224",2016-02-09,8183
"225",2016-02-10,6955
"226",2016-02-11,6904
"227",2016-02-12,7024
"228",2016-02-13,8617
"229",2016-02-14,9703
"230",2016-02-15,7482
"231",2016-02-16,6565
"232",2016-02-17,6622
"233",2016-02-18,7916
"234",2016-02-19,6884
"235",2016-02-20,8348
"236",2016-02-21,9030
"237",2016-02-22,7641
"238",2016-02-23,7475
"239",2016-02-24,6131
"240",2016-02-25,6466
"241",2016-02-26,6611
"242",2016-02-27,7349
"243",2016-02-28,10586
"244",2016-02-29,12382
"245",2016-03-01,9113
"246",2016-03-02,8937
"247",2016-03-03,9073
"248",2016-03-04,10184
"249",2016-03-05,13441
"250",2016-03-06,12502
"251",2016-03-07,9815
"252",2016-03-08,8294
"253",2016-03-09,8454
"254",2016-03-10,8591
"255",2016-03-11,7836
"256",2016-03-12,10198
"257",2016-03-13,11019
"258",2016-03-14,9599
"259",2016-03-15,8626
"260",2016-03-16,7150
